;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133
1;7098908;-5106.0;-7598.0;-5330.0;13692.42;6042.87;6542.87;36215.68;34660.55;35873.42;0.0;0.0;0.0;1002642.32;916846.78;1032840.27;1002642.32;916846.78;1032840.27;15;13;16;1.0;1.0;1.0;31.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1;-1.0;10.0;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
2;7800938;-5921.12;-633.5;-3812.0;3900.0;4000.0;3500.0;7.98;3374.48;3062.48;0.0;0.0;0.0;62488.1;3547.94;79684.88;62488.1;3547.94;79684.88;21;7;7;1.0;1.0;1.0;41.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1;-1.0;9.0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
3;9171989;-6128.25;-8271.25;-10305.25;7443.97;8413.97;6833.97;10359.17;10501.89;7030.61;0.0;0.0;0.0;201262.17;221210.23;251260.97;201262.17;221210.23;251260.97;24;27;23;1.0;1.0;1.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;-1.0;7.0;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
4;10220679;-9209.0;-4853.0;-7383.57;4871.05;5801.49;5264.05;4323.77;5272.26;3152.74;0.0;0.0;0.0;88213.37;104991.17;131566.25;88213.37;104991.17;131566.25;16;19;23;1.0;1.0;1.0;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;-1.0;5.0;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1
5;11608824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.0;1.0;1.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;-1.0;3.0;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
6;6065646;-3000.0;0.0;0.0;4233.06;4678.46;3640.0;119445.91;124124.37;127764.37;0.0;0.0;0.0;3633570.59;3363840.84;3862415.47;3633570.59;3363840.84;3862415.47;4;2;2;1.0;1.0;1.0;70.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;126.0;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1000.0;0.0;0.0;10.77;0.0;0.0;1485.27;1485.27;1485.27;0.0;0.0;0.0;61043.37;41587.56;46043.37;61043.37;41587.56;46043.37;2.0;0.0;0.0;1.0;1.0;1.0;1
7;335108;-4000.0;-4000.0;-2000.0;4724.85;3349.15;3349.15;4445.9;3795.05;5144.2;0.0;0.0;0.0;107518.68;106246.94;110258.51;107518.68;106246.94;110258.51;7;6;5;1.0;1.0;1.0;70.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;-1.0;20.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23;0.0;0.0;52.87;52.87;52.87;0.0;0.0;0.0;1638.97;1480.36;1638.97;1638.97;1480.36;1638.97;1.0;0.0;0.0;1.0;1.0;1.0;1
8;8014700;-15139.85;-14393.71;-7918.66;20746.77;8674.77;7636.65;5800.96;82.02;-199.99;-803.39;-2283.08;-1966.46;39812.86;15101.77;18144.57;39009.47;12818.69;16178.11;33;22;19;0.8387096774193549;0.3571428571428571;0.5483870967741935;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;-1.0;9.0;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;-9126.0;-6248.0;-2300.0;12084.21;3286.96;5379.0;3011.3;50.26;3129.26;0.0;0.0;0.0;52750.89;6597.52;34174.06;52750.89;6597.52;34174.06;13.0;10.0;5.0;1.0;1.0;1.0;1
9;12007609;-36.0;0.0;0.0;0.0;0.0;0.0;0.74;0.74;0.74;0.0;0.0;0.0;22.94;20.72;22.94;22.94;20.72;22.94;1;0;0;1.0;1.0;1.0;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;-1.0;8.0;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
10;6802583;-3904.42;-2901.0;-3902.0;3870.05;3863.08;2944.58;0.48;962.56;5.14;0.0;0.0;0.0;4661.16;3340.03;712.47;4661.16;3340.03;712.47;11;8;11;1.0;1.0;1.0;74.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1;-1.0;11.0;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;;;;;;;;;;;;;;;;;;;;;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
11;10103733;-19654.04;-7050.38;-16619.0;15763.12;6985.12;17542.12;-1308.02;-1373.28;-450.16;-22378.12;-35536.56;-32987.76;16350.22;4185.86;17344.04;-6027.9;-31350.7;-15643.72;44;18;25;0.2903225806451613;0.0357142857142857;0.1935483870967742;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;-1.0;5.0;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.22;0.0;0.0;51.24;51.24;51.24;0.0;0.0;0.0;1588.44;1434.72;1588.44;1588.44;1434.72;1588.44;1.0;0.0;0.0;1.0;1.0;1.0;1
12;11391523;-13225.0;-2310.0;-9156.0;5128.54;5738.66;5738.66;2018.08;5446.74;2029.4;0.0;0.0;0.0;63597.41;13764.9;47390.24;63597.41;13764.9;47390.24;20;6;10;1.0;1.0;1.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1;-1.0;3.0;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
13;1301854;-4966.0;-1818.0;-5884.0;3827.07;3827.07;3827.07;1325.75;3334.82;1277.89;0.0;0.0;0.0;32130.29;28711.14;24213.7;32130.29;28711.14;24213.7;14;8;11;1.0;1.0;1.0;53.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;126.0;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24;0.0;0.0;55.65;55.65;55.65;0.0;0.0;0.0;1725.15;1558.2;1725.15;1725.15;1558.2;1725.15;1.0;0.0;0.0;1.0;1.0;1.0;1
14;6334733;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;0.0;0.0;0.0;93.0;84.0;93.0;93.0;84.0;93.0;0;0;0;1.0;1.0;1.0;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;-1.0;126.0;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23;0.0;0.0;53.16;53.16;53.16;0.0;0.0;0.0;1647.96;1488.48;1647.96;1647.96;1488.48;1647.96;1.0;0.0;0.0;1.0;1.0;1.0;1
15;1475382;-5675.0;-3595.0;-5761.0;2900.0;4000.0;7700.0;46.32;451.32;2390.32;0.0;0.0;0.0;55446.92;33846.96;40776.92;55446.92;33846.96;40776.92;13;17;24;1.0;1.0;1.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1;-1.0;126.0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;;;;;;;;;;;;;;;;;;;;;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
16;9924096;-6525.74;-22244.07;-11329.07;8905.12;22433.12;25512.12;3491.26;3680.31;17863.36;-36022.7;-54078.03;-56673.44;14025.3;3680.31;52823.44;-21997.4;-50397.72;-3850.0;26;37;40;0.3225806451612903;0.0357142857142857;0.1290322580645161;23.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;5.0;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
17;8746049;-2587.12;-5800.0;-7454.0;2157.72;5809.32;7448.62;4.82;14.14;8.76;0.0;0.0;0.0;7015.46;218.84;3337.28;7015.46;218.84;3337.28;4;6;9;1.0;1.0;1.0;70.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1;-1.0;7.0;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;;;;;;;;;;;;;;;;;;;;;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1
